,HasTpm,Census_OSInstallLanguageIdentifier,LocaleEnglishNameIdentifier,EngineVersion,UacLuaenable,Census_MDC2FormFactor,Census_IsSecureBootEnabled,Census_OSVersion,Census_GenuineStateName,Census_InternalPrimaryDisplayResolutionHorizontal,RtpStateBitfield,Census_ActivationChannel,GeoNameIdentifier,Census_OSUILocaleIdentifier,Census_OSEdition,AVProductsInstalled,Census_FirmwareManufacturerIdentifier,Census_OEMNameIdentifier,Census_SystemVolumeTotalCapacity,Census_OSVersion_0
0,1,0.04114,0.03738,0.4119,0,1,1,0.02556,0,1366.0,0,0,0.03815,0.0423,2,1.0,0.1317,0.1038,113858.0,0
1,1,0.3562,0.2347,0.4119,0,1,0,0.007090000000000002,0,1366.0,0,0,0.1718,0.3555,1,1.0,0.0433,0.1038,457708.0,0
2,1,0.3562,0.004917,0.431,0,1,1,0.0527,0,1366.0,0,2,0.00529,0.3555,1,2.0,0.08966,0.10034,476102.0,0
3,1,0.02843,0.02031,0.431,0,0,0,0.1584,0,1920.0,0,1,0.02072,0.02843,1,1.0,0.3025,0.03476,236818.0,0
4,1,0.116,0.03827,0.4119,0,1,1,0.002586,0,1366.0,0,0,0.03885,0.1167,1,1.0,0.08966,0.10034,457708.0,0
5,1,0.05524,0.0505,0.4119,0,1,0,0.01149,0,1360.0,0,0,0.04752,0.0559,1,1.0,0.010254,0.01569,592099.0,0
6,1,0.005516,0.005954999999999999,0.4119,0,1,0,0.039,0,1366.0,0,0,0.00658,0.005529999999999999,1,1.0,0.010254,0.01569,592024.0,0
7,1,0.3562,0.03842,0.01055,0,1,1,0.007090000000000002,0,1366.0,0,0,0.03867,0.3555,1,1.0,0.3025,0.1038,451860.0,0
8,1,0.05524,0.0505,0.431,0,0,0,0.0527,2,1440.0,0,1,0.04752,0.0559,2,1.0,0.3025,0.003046,475911.0,0
9,1,0.02843,0.02031,0.4119,0,0,0,0.02556,0,1920.0,0,2,0.02072,0.02843,0,1.0,0.3025,0.01554,475553.0,0
10,1,0.3562,0.2347,0.431,0,4,0,0.01547,0,1280.0,0,0,0.1718,0.3555,0,1.0,0.001147,0.001151,64734.0,0
11,1,0.3562,0.2347,0.431,0,1,1,0.1584,0,1366.0,0,0,0.01451,0.3555,2,1.0,0.138,0.1444,130262.0,0
12,1,0.3562,0.01013,0.431,0,1,0,0.01547,0,1366.0,0,0,0.01284,0.3555,0,1.0,0.138,0.1444,121252.0,0
13,1,0.04846,0.042,0.431,0,4,1,0.1009,0,1920.0,0,2,0.04034,0.04892,1,1.0,0.3025,8.1e-05,29110.0,0
14,1,0.00808,0.008125,0.431,0,0,0,0.0527,0,1280.0,0,1,0.008223999999999999,0.00811,1,1.0,0.3025,0.01499,214061.0,0
15,1,0.3562,0.2347,0.431,0,1,0,0.1009,0,1366.0,0,2,0.1718,0.3555,1,1.0,0.10547,0.1063,211496.0,0
16,1,0.02301,0.0238,0.431,0,1,0,0.1584,0,1366.0,0,0,0.02425,0.02324,0,1.0,0.3025,4.9e-05,121270.0,0
17,1,0.02267,0.01817,0.431,0,1,1,0.1584,0,1366.0,0,2,0.01823,0.02272,1,2.0,0.3025,0.0943,380430.0,0
18,1,0.01895,0.01933,0.431,0,1,1,0.019,0,1366.0,0,0,0.01938,0.01913,1,1.0,0.3025,0.02275,920625.0,0
19,1,0.3562,0.2347,0.431,0,1,1,0.03644,0,1366.0,0,0,0.1718,0.3555,1,1.0,0.1317,0.1038,448033.0,0
20,1,0.3562,0.01013,0.4119,0,0,0,0.1009,0,1920.0,0,1,0.01284,0.3555,0,1.0,0.0433,0.1038,475431.0,0
21,1,0.3562,0.2347,0.4119,0,1,1,0.0023120000000000003,0,1366.0,0,2,0.011284,0.3555,1,2.0,0.10547,0.1063,1893586.0,0
22,1,0.05734,0.04608,0.431,0,1,0,0.0527,0,1366.0,0,3,0.002762,0.0575,0,1.0,0.138,0.1444,476389.0,0
23,1,,0.04593,0.431,0,1,1,0.00459,1,,0,0,0.04587,0.04578,4,2.0,0.138,0.1444,462148.0,0
24,1,0.3562,0.2347,0.431,0,1,1,0.1584,2,1920.0,0,0,0.1718,0.3555,0,1.0,0.08966,0.10034,153253.0,0
25,1,0.02267,0.01817,0.02974,0,1,0,0.005146,0,1366.0,0,0,0.01823,0.02272,1,1.0,0.3025,0.00859,151703.0,0
26,1,0.05734,0.04608,0.431,0,1,1,0.002121,0,1366.0,0,2,0.03323,0.0575,1,2.0,0.3025,0.0943,543192.0,0
27,1,0.3562,0.01013,0.4119,0,1,0,0.039,0,1366.0,0,0,0.01284,0.3555,1,1.0,0.0433,0.1038,462622.0,0
