"car","wt","qsec","vs"
"Mazda RX4",2.62,16.46,0
"Mazda RX4 Wag",2.875,17.02,0
"Datsun 710",2.32,18.61,1
"Hornet 4 Drive",3.215,19.44,1
"Hornet Sportabout",3.44,17.02,0
"Valiant",3.46,20.22,1
"Duster 360",3.57,15.84,0
"Merc 240D",3.19,20,1
"Merc 230",3.15,22.9,1
"Merc 280",3.44,18.3,1
"Merc 280C",3.44,18.9,1
"Merc 450SE",4.07,17.4,0
"Merc 450SL",3.73,17.6,0
"Merc 450SLC",3.78,18,0
"Cadillac Fleetwood",5.25,17.98,0
"Lincoln Continental",5.424,17.82,0
"Chrysler Imperial",5.345,17.42,0
"Fiat 128",2.2,19.47,1
"Honda Civic",1.615,18.52,1
